player,team,sport,projection,edge,market,dk_line,direction,reason,date,league,matchup,game_time,role,status,stat,period,market_type,market_family,line_source,catalog_supported,line_status,alert_eligible,truth_note,market_line,tc_projection,tc_target,threshold,signal,why,raw_average,source,actual,result
Sug Sutton,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,AST,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,4.40531,4.7,4.84,0.5,PROJECTION ONLY,Sug Sutton projected 4.7 assists (full game) vs. line of 4.4 — 7% edge to the OVER,0.6,SELF_EDGE,,PENDING
Sug Sutton,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,3PM,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.7134400000000001,0.8,0.78,0.5,PROJECTION ONLY,Sug Sutton projected 0.8 three-pointers (full game) vs. line of 0.7 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Sug Sutton,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,STL,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.7425600000000001,0.8,0.82,0.5,PROJECTION ONLY,Sug Sutton projected 0.8 steals (full game) vs. line of 0.7 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Sug Sutton,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,BLK,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.27846,0.3,0.31,0.5,PROJECTION ONLY,Sug Sutton projected 0.3 blocks (full game) vs. line of 0.3 — 7% edge to the OVER,-0.2,SELF_EDGE,,PENDING
Odyssey Sims,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,PTS,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,8.981700000000002,9.4,9.87,0.5,PROJECTION ONLY,Odyssey Sims projected 9.4 points (full game) vs. line of 9.0 — 7% edge to the OVER,1.1,SELF_EDGE,,PENDING
Odyssey Sims,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,REB,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.31222,1.4,1.44,0.5,PROJECTION ONLY,Odyssey Sims projected 1.4 rebounds (full game) vs. line of 1.3 — 7% edge to the OVER,0.2,SELF_EDGE,,PENDING
Odyssey Sims,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,AST,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,3.37428,3.6,3.71,0.5,PROJECTION ONLY,Odyssey Sims projected 3.6 assists (full game) vs. line of 3.4 — 7% edge to the OVER,0.4,SELF_EDGE,,PENDING
Odyssey Sims,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,3PM,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.80262,0.9,0.88,0.5,PROJECTION ONLY,Odyssey Sims projected 0.9 three-pointers (full game) vs. line of 0.8 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Odyssey Sims,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,STL,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.83538,0.9,0.92,0.5,PROJECTION ONLY,Odyssey Sims projected 0.9 steals (full game) vs. line of 0.8 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Odyssey Sims,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,BLK,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.18564000000000003,0.2,0.2,0.5,PROJECTION ONLY,Odyssey Sims projected 0.2 blocks (full game) vs. line of 0.2 — 7% edge to the OVER,-0.3,SELF_EDGE,,PENDING
Costanza Verona,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,PTS,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,15.956850000000001,16.7,17.54,0.5,PROJECTION ONLY,Costanza Verona projected 16.7 points (full game) vs. line of 16.0 — 7% edge to the OVER,2,SELF_EDGE,,PENDING
Costanza Verona,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,AST,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,7.779590000000002,8.3,8.55,0.5,PROJECTION ONLY,Costanza Verona projected 8.3 assists (full game) vs. line of 7.8 — 7% edge to the OVER,1,SELF_EDGE,,PENDING
Haley Jones,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,PTS,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,10.892700000000001,11.4,11.97,0.5,PROJECTION ONLY,Haley Jones projected 11.4 points (full game) vs. line of 10.9 — 7% edge to the OVER,1.4,SELF_EDGE,,PENDING
Haley Jones,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,REB,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,4.49904,4.8,4.94,0.5,PROJECTION ONLY,Haley Jones projected 4.8 rebounds (full game) vs. line of 4.5 — 7% edge to the OVER,0.6,SELF_EDGE,,PENDING
Haley Jones,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,AST,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,2.0620600000000007,2.2,2.27,0.5,PROJECTION ONLY,Haley Jones projected 2.2 assists (full game) vs. line of 2.1 — 7% edge to the OVER,0.3,SELF_EDGE,,PENDING
Haley Jones,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,STL,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.83538,0.9,0.92,0.5,PROJECTION ONLY,Haley Jones projected 0.9 steals (full game) vs. line of 0.8 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Li Yueru,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,PTS,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,8.88615,9.3,9.77,0.5,PROJECTION ONLY,Li Yueru projected 9.3 points (full game) vs. line of 8.9 — 7% edge to the OVER,1.1,SELF_EDGE,,PENDING
Li Yueru,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,REB,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,8.060780000000001,8.6,8.86,0.5,PROJECTION ONLY,Li Yueru projected 8.6 rebounds (full game) vs. line of 8.1 — 7% edge to the OVER,1,SELF_EDGE,,PENDING
Li Yueru,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,AST,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.31222,1.4,1.44,0.5,PROJECTION ONLY,Li Yueru projected 1.4 assists (full game) vs. line of 1.3 — 7% edge to the OVER,0.2,SELF_EDGE,,PENDING
Li Yueru,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,3PM,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.80262,0.9,0.88,0.5,PROJECTION ONLY,Li Yueru projected 0.9 three-pointers (full game) vs. line of 0.8 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Li Yueru,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,STL,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.37128000000000005,0.4,0.41,0.5,PROJECTION ONLY,Li Yueru projected 0.4 steals (full game) vs. line of 0.4 — 7% edge to the OVER,-0.1,SELF_EDGE,,PENDING
Li Yueru,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,BLK,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.18564000000000003,0.2,0.2,0.5,PROJECTION ONLY,Li Yueru projected 0.2 blocks (full game) vs. line of 0.2 — 7% edge to the OVER,-0.3,SELF_EDGE,,PENDING
JJ Quinerly,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,PTS,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,4.0131000000000006,4.2,4.41,0.5,PROJECTION ONLY,JJ Quinerly projected 4.2 points (full game) vs. line of 4.0 — 7% edge to the OVER,0.5,SELF_EDGE,,PENDING
JJ Quinerly,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,REB,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.9683300000000004,2.1,2.16,0.5,PROJECTION ONLY,JJ Quinerly projected 2.1 rebounds (full game) vs. line of 2.0 — 7% edge to the OVER,0.3,SELF_EDGE,,PENDING
JJ Quinerly,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,AST,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,3.9366600000000007,4.2,4.33,0.5,PROJECTION ONLY,JJ Quinerly projected 4.2 assists (full game) vs. line of 3.9 — 7% edge to the OVER,0.5,SELF_EDGE,,PENDING
JJ Quinerly,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,BLK,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.9492200000000004,2.1,2.14,0.5,PROJECTION ONLY,JJ Quinerly projected 2.1 blocks (full game) vs. line of 1.9 — 7% edge to the OVER,0.3,SELF_EDGE,,PENDING
Alysha Clark,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,PTS,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,5.924100000000001,6.2,6.51,0.5,PROJECTION ONLY,Alysha Clark projected 6.2 points (full game) vs. line of 5.9 — 7% edge to the OVER,0.7,SELF_EDGE,,PENDING
Alysha Clark,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,REB,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,2.53071,2.7,2.78,0.5,PROJECTION ONLY,Alysha Clark projected 2.7 rebounds (full game) vs. line of 2.5 — 7% edge to the OVER,0.3,SELF_EDGE,,PENDING
Alysha Clark,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,AST,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.12476,1.2,1.24,0.5,PROJECTION ONLY,Alysha Clark projected 1.2 assists (full game) vs. line of 1.1 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Alysha Clark,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,3PM,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.07016,1.2,1.18,0.5,PROJECTION ONLY,Alysha Clark projected 1.2 three-pointers (full game) vs. line of 1.1 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Alysha Clark,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,STL,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.64974,0.7,0.71,0.5,PROJECTION ONLY,Alysha Clark projected 0.7 steals (full game) vs. line of 0.6 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Alysha Clark,DAL,,,0.0692,,,OVER,,2026-07-16,WNBA,NY@DAL,,BENCH,ACTIVE,BLK,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.27846,0.3,0.31,0.5,PROJECTION ONLY,Alysha Clark projected 0.3 blocks (full game) vs. line of 0.3 — 7% edge to the OVER,-0.2,SELF_EDGE,,PENDING
Carla Leite,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,PTS,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,14.236950000000002,14.9,15.65,0.5,PROJECTION ONLY,Carla Leite projected 14.9 points (full game) vs. line of 14.2 — 7% edge to the OVER,1.8,SELF_EDGE,,PENDING
Carla Leite,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,REB,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,2.1557899999999997,2.3,2.37,0.5,PROJECTION ONLY,Carla Leite projected 2.3 rebounds (full game) vs. line of 2.2 — 7% edge to the OVER,0.3,SELF_EDGE,,PENDING
Carla Leite,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,AST,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,5.3426100000000005,5.7,5.87,0.5,PROJECTION ONLY,Carla Leite projected 5.7 assists (full game) vs. line of 5.3 — 7% edge to the OVER,0.7,SELF_EDGE,,PENDING
Carla Leite,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,3PM,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.7134400000000001,0.8,0.78,0.5,PROJECTION ONLY,Carla Leite projected 0.8 three-pointers (full game) vs. line of 0.7 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Carla Leite,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,STL,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.4641,0.5,0.51,0.5,PROJECTION ONLY,Carla Leite projected 0.5 steals (full game) vs. line of 0.5 — 7% edge to the OVER,0,SELF_EDGE,,PENDING
Bridget Carleton,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,PTS,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,10.60605,11.1,11.65,0.5,PROJECTION ONLY,Bridget Carleton projected 11.1 points (full game) vs. line of 10.6 — 7% edge to the OVER,1.3,SELF_EDGE,,PENDING
Bridget Carleton,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,REB,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,2.8119,3,3.09,0.5,PROJECTION ONLY,Bridget Carleton projected 3.0 rebounds (full game) vs. line of 2.8 — 7% edge to the OVER,0.4,SELF_EDGE,,PENDING
Bridget Carleton,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,AST,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.4996800000000001,1.6,1.65,0.5,PROJECTION ONLY,Bridget Carleton projected 1.6 assists (full game) vs. line of 1.5 — 7% edge to the OVER,0.2,SELF_EDGE,,PENDING
Bridget Carleton,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,3PM,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.7836,2,1.96,0.5,PROJECTION ONLY,Bridget Carleton projected 2.0 three-pointers (full game) vs. line of 1.8 — 7% edge to the OVER,0.2,SELF_EDGE,,PENDING
Bridget Carleton,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,STL,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.29948,1.4,1.43,0.5,PROJECTION ONLY,Bridget Carleton projected 1.4 steals (full game) vs. line of 1.3 — 7% edge to the OVER,0.2,SELF_EDGE,,PENDING
Bridget Carleton,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,BLK,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.37128000000000005,0.4,0.41,0.5,PROJECTION ONLY,Bridget Carleton projected 0.4 blocks (full game) vs. line of 0.4 — 7% edge to the OVER,-0.1,SELF_EDGE,,PENDING
Megan Gustafson,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,PTS,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,12.708150000000002,13.3,13.97,0.5,PROJECTION ONLY,Megan Gustafson projected 13.3 points (full game) vs. line of 12.7 — 7% edge to the OVER,1.6,SELF_EDGE,,PENDING
Megan Gustafson,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,REB,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,3.9366600000000007,4.2,4.33,0.5,PROJECTION ONLY,Megan Gustafson projected 4.2 rebounds (full game) vs. line of 3.9 — 7% edge to the OVER,0.5,SELF_EDGE,,PENDING
Megan Gustafson,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,AST,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.9373,1,1.03,0.5,PROJECTION ONLY,Megan Gustafson projected 1.0 assists (full game) vs. line of 0.9 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Megan Gustafson,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,3PM,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.2485199999999999,1.4,1.37,0.5,PROJECTION ONLY,Megan Gustafson projected 1.4 three-pointers (full game) vs. line of 1.2 — 7% edge to the OVER,0.2,SELF_EDGE,,PENDING
Megan Gustafson,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,STL,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.4641,0.5,0.51,0.5,PROJECTION ONLY,Megan Gustafson projected 0.5 steals (full game) vs. line of 0.5 — 7% edge to the OVER,0,SELF_EDGE,,PENDING
Megan Gustafson,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,BLK,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.55692,0.6,0.61,0.5,PROJECTION ONLY,Megan Gustafson projected 0.6 blocks (full game) vs. line of 0.6 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Sarah Ashlee Barker,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,PTS,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,10.03275,10.5,11.03,0.5,PROJECTION ONLY,Sarah Ashlee Barker projected 10.5 points (full game) vs. line of 10.0 — 7% edge to the OVER,1.3,SELF_EDGE,,PENDING
Sarah Ashlee Barker,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,REB,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,4.124120000000001,4.4,4.53,0.5,PROJECTION ONLY,Sarah Ashlee Barker projected 4.4 rebounds (full game) vs. line of 4.1 — 7% edge to the OVER,0.5,SELF_EDGE,,PENDING
Sarah Ashlee Barker,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,AST,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,2.1557899999999997,2.3,2.37,0.5,PROJECTION ONLY,Sarah Ashlee Barker projected 2.3 assists (full game) vs. line of 2.2 — 7% edge to the OVER,0.3,SELF_EDGE,,PENDING
Sarah Ashlee Barker,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,3PM,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.15934,1.3,1.27,0.5,PROJECTION ONLY,Sarah Ashlee Barker projected 1.3 three-pointers (full game) vs. line of 1.2 — 7% edge to the OVER,0.2,SELF_EDGE,,PENDING
Sarah Ashlee Barker,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,STL,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.7425600000000001,0.8,0.82,0.5,PROJECTION ONLY,Sarah Ashlee Barker projected 0.8 steals (full game) vs. line of 0.7 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Sarah Ashlee Barker,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,BLK,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.37128000000000005,0.4,0.41,0.5,PROJECTION ONLY,Sarah Ashlee Barker projected 0.4 blocks (full game) vs. line of 0.4 — 7% edge to the OVER,-0.1,SELF_EDGE,,PENDING
Emily Engstler,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,PTS,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,9.268350000000002,9.7,10.19,0.5,PROJECTION ONLY,Emily Engstler projected 9.7 points (full game) vs. line of 9.3 — 7% edge to the OVER,1.2,SELF_EDGE,,PENDING
Emily Engstler,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,REB,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,5.3426100000000005,5.7,5.87,0.5,PROJECTION ONLY,Emily Engstler projected 5.7 rebounds (full game) vs. line of 5.3 — 7% edge to the OVER,0.7,SELF_EDGE,,PENDING
Emily Engstler,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,AST,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.8746,2,2.06,0.5,PROJECTION ONLY,Emily Engstler projected 2.0 assists (full game) vs. line of 1.9 — 7% edge to the OVER,0.2,SELF_EDGE,,PENDING
Emily Engstler,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,3PM,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,0.9809800000000001,1.1,1.08,0.5,PROJECTION ONLY,Emily Engstler projected 1.1 three-pointers (full game) vs. line of 1.0 — 7% edge to the OVER,0.1,SELF_EDGE,,PENDING
Emily Engstler,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,STL,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.5779400000000001,1.7,1.73,0.5,PROJECTION ONLY,Emily Engstler projected 1.7 steals (full game) vs. line of 1.6 — 7% edge to the OVER,0.2,SELF_EDGE,,PENDING
Emily Engstler,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,START,ACTIVE,BLK,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,1.76358,1.9,1.94,0.5,PROJECTION ONLY,Emily Engstler projected 1.9 blocks (full game) vs. line of 1.8 — 7% edge to the OVER,0.2,SELF_EDGE,,PENDING
Frieda Buhner,POR,,,0.0692,,,OVER,,2026-07-16,WNBA,POR@WSH,,BENCH,ACTIVE,PTS,GAME,PLAYER_PROP,WNBA_GAME_PLAYER_PROP,,True,NO_REAL_LINE,False,Projection/reference line only; not a sportsbook +EV alert,9.65055,10.1,10.61,0.5,PROJECTION ONLY,Frieda Buhner projected 10.1 points (full game) vs. line of 9.7 — 7% edge to the OVER,1.2,SELF_EDGE,,PENDING
